Date,M&M_close,M& M_vol,M& M_returns,Maruti_close,Maruti_vol,Maruti_returns,TATA_close,TATA_vol,TATA_returns
2/26/2018,735.400024,1525511,-16.75,9005.349609,869374,-306.549804,372.049988,10576794,-11.849976
2/27/2018,739.799988,1429191,-4.399964,8891.200195,684609,114.149414,372.549988,6156672,-0.5
2/28/2018,728.349976,1814444,11.450012,8850.950195,680125,40.25,369.899994,8009429,2.649994
3/1/2018,732.549988,1831321,-4.200012,8873.450195,609369,-22.5,370.75,6991806,-0.850006
3/5/2018,739.599976,2170367,-7.049988,8795.099609,388180,78.350586,352.049988,14665325,18.700012
3/6/2018,719.900024,1763292,19.699952,8616.5,543686,178.599609,346.5,8876632,5.549988
3/7/2018,707.799988,2343794,12.100036,8679.099609,598715,-62.599609,347.799988,15599393,-1.299988
3/8/2018,726.650024,2500680,-18.850036,8729.349609,533856,-50.25,345.149994,7674221,2.649994
3/9/2018,728.5,2191343,-1.849976,8660.599609,323450,68.75,341.5,5519224,3.649994
3/12/2018,737.099976,1867680,-8.599976,8810.299805,438339,-149.700196,352.600006,8238960,-11.100006
3/13/2018,733,1823994,4.099976,8756.049805,521943,54.25,353.149994,6184241,-0.549988
3/14/2018,728.200012,1366237,4.799988,8846.299805,411769,-90.25,354.049988,3820313,-0.899994
3/15/2018,734.849976,1249262,-6.649964,8837.549805,313431,8.75,353.100006,4331145,0.949982
3/16/2018,740.75,4929069,-5.900024,8676.549805,622932,161,339.75,14205582,13.350006
3/19/2018,742.700012,2081202,-1.950012,8773.5,571830,-96.950195,335.700012,9391347,4.049988
3/20/2018,740.950012,1248986,1.75,8802.400391,408924,-28.900391,338.799988,5080453,-3.099976
3/21/2018,745.349976,2788242,-4.399964,8874.650391,516020,-72.25,333.850006,6812442,4.949982
3/22/2018,730.849976,1877037,14.5,8696.549805,471749,178.100586,338.200012,9255091,-4.350006
3/23/2018,732.900024,2276332,-2.050048,8607.25,644482,89.299805,330.850006,8578297,7.350006
3/26/2018,746.5,1890961,-13.599976,8765.299805,447858,-158.049805,332.350006,8907023,-1.5
3/27/2018,744.900024,2422064,1.599976,8852.299805,423455,-87,331.149994,6822448,1.200012
3/28/2018,738.900024,3301815,6,8861.099609,1194227,-8.799804,326.850006,10975624,4.299988
